,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.9945998683816544,0.0007598595953853871,1308.925852120366,0.0,0.9931105709413919,0.9960891658219169
C(block)[T.2],0.0006583027622459841,0.0009793651051217666,0.6721729810499384,0.501473579635427,-0.0012612175715079625,0.002577823095999931
C(block)[T.3],0.001242998863217719,0.000978800846717015,1.2699200939464321,0.2041130947436981,-0.0006754155443849405,0.0031614132708203783
C(block)[T.4],0.0026107111528334923,0.0009622403843551914,2.713158993615676,0.006664512187346181,0.0007247546550273383,0.0044966676506396465
C(block)[T.5],0.002082447962221649,0.001024628179496587,2.032393802837613,0.042113804969845056,7.421363286349691e-05,0.004090682291579801
C(block)[T.6],0.0022520010931929104,0.0010037633559556605,2.2435577866347103,0.024860867882218838,0.00028466106651875737,0.004219341119867064
C(block)[T.7],0.0037210023256076872,0.0009784658322159545,3.802894493700047,0.00014301527377503996,0.001803244534361405,0.00563876011685397
C(block)[T.8],0.003070533017875316,0.0010816600550254596,2.838722761009274,0.004529449160000533,0.0009505182665098021,0.00519054776924083
C(block)[T.9],0.003805661752145837,0.0011604594234201529,3.2794440506412856,0.001040118321703637,0.0015312030767222207,0.006080120427569453
C(block)[T.10],0.0036468696019554044,0.001512227865333477,2.411587357670595,0.01588324634921062,0.0006829574494839025,0.006610781754426906
treat,0.0005416514070282741,0.00030252994657801465,1.7904059190008028,0.07338867947360442,-5.129639250946118e-05,0.0011345992065660095
baseline_activity,1.532241431087631e-05,0.00033609577102485807,0.04558942906110843,0.9636374948002242,-0.0006434131922540662,0.0006740580208758188
pre_metric,3.230192316355275e-05,0.00031532444946634686,0.10244027451160329,0.9184072173641582,-0.0005857226412354073,0.0006503264875625128
