,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.09797027279473872,0.0036986284824758785,26.488270789813683,1.3230583854020032e-154,0.09072109417689196,0.10521945141258547
C(block)[T.2],0.0037479795513766243,0.004785598862466569,0.783178795191551,0.4335221251965603,-0.005631621863513702,0.013127580966266952
C(block)[T.3],0.010537497672996063,0.005206123451045781,2.024058355911507,0.04296414776878445,0.0003336832098769574,0.02074131213611517
C(block)[T.4],0.004588848132833706,0.00546437976753371,0.83977474627552,0.4010346954441608,-0.006121139409381718,0.015298835675049131
C(block)[T.5],0.005721683562831511,0.005817696497106589,0.9834964002809652,0.3253631861005062,-0.0056807920444822335,0.017124159170145255
C(block)[T.6],0.011970989416274447,0.006527308334878993,1.8339855882564755,0.06665613346910138,-0.0008222998360764913,0.024764278668625385
C(block)[T.7],0.006342308546182343,0.007497614679035011,0.8459101751276763,0.39760285577328847,-0.008352746194685116,0.0210373632870498
C(block)[T.8],0.012026183020966925,0.008385858138150647,1.4341028458679708,0.15154291590833507,-0.004409796909270455,0.028462162951204305
C(block)[T.9],0.012220526564486143,0.010194266019765353,1.1987647311529965,0.23061944003318235,-0.007759867683074436,0.03220092081204672
C(block)[T.10],0.008391039917028704,0.014695889280043666,0.5709787109258742,0.5680140739811017,-0.02041237379264514,0.03719445362670255
treat,0.020085063164485998,0.0020457556801929825,9.817918805725283,9.426959899074445e-23,0.016075455710139512,0.024094670618832484
baseline_activity,-0.0005982850609419145,0.002531367245496777,-0.23634858276934922,0.8131621909751732,-0.0055596736937599586,0.00436310357187613
pre_metric,0.0020787489386931268,0.002144001292551796,0.9695651518096774,0.3322632902273511,-0.002123416377515718,0.006280914254901971
